127.0.0.1 - - [21/Jun/2016:00:42:16 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:42:20 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:42:20 +0800] "GET /ShrimpBreeding/css/style.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:42:20 +0800] "GET /ShrimpBreeding/js/jquery.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:42:20 +0800] "GET /ShrimpBreeding/js/cloud.js HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:42:20 +0800] "GET /ShrimpBreeding/css/style.css HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:42:20 +0800] "GET /ShrimpBreeding/js/jquery.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:42:20 +0800] "GET /ShrimpBreeding/js/cloud.js HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:42:20 +0800] "GET /ShrimpBreeding/images/light.png HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:46:23 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:46:23 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:46:23 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:46:23 +0800] "GET /ShrimpBreeding/js/jquery.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:46:23 +0800] "GET /ShrimpBreeding/js/jquery.js HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:46:23 +0800] "GET /ShrimpBreeding/js/cloud.js HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:46:23 +0800] "GET /ShrimpBreeding/images/light.png HTTP/1.1" 200 132156
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:55:13 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1778
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:55:13 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:56:04 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:56:04 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:56:04 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:58:41 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:58:41 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:58:41 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:59:07 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:59:07 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:59:08 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:59:08 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:59:08 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:59:08 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:59:08 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:59:08 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:59:09 +0800] "GET /ShrimpBreeding/login.jsp HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [21/Jun/2016:00:59:09 +0800] "GET /ShrimpBreeding/style/login.css HTTP/1.1" 404 1011
